community,ARAYA,ROJAS,CORTES,CASTILLO,TAPIA,OLIVARES,CARVAJAL,PIZARRO,GONZALEZ,ALFARO,CONTRERAS,DIAZ,BUGUEÃO,RIVERA,MUAOZ,VEGA,GOMEZ,BARRAZA,LOPEZ,ALVAREZ,FLORES,RODRIGUEZ,PEREZ,PASTEN,ZEPEDA,ROBLES,VILLALOBOS,RAMIREZ,ASTUDILLO,GODOY,GALLARDO,CASTRO,AGUIRRE,VICENCIO,PLAZA,VELIZ,ROJO,SEGOVIA,GARCIA,MORALES,MARIN,HIDALGO,MALUENDA,PINTO,RAMOS,VALDIVIA,ANGEL,HENRIQUEZ,TABILO,ARANCIBIA,CAMPOS,PEREIRA,AGUILERA,GUERRERO,ESPINOZA,GALLEGUILLOS,TORRES,ORREGO,LEYTON,JOFRE,TORO,MIRANDA,TELLO,VARAS,NUAEZ,ORTIZ,MICHEA,CHAVEZ,AVALOS,YAAEZ,BARRERA,TOLEDO,CUELLO,COLLAO,LEDEZMA,EGAAA,FERNANDEZ,DELGADO,GUERRA,MOLINA,OSSANDON,TALAMILLA,CERDA,JORQUERA,MUNDACA,PAZ,CALDERON,CARMONA,ECHEVERRIA,MILLA,CAMPILLAY,VALENCIA,IBACACHE,JIMENEZ,VERGARA,CACERES,CAMPUSANO,JAIME,LEIVA
AGUA FRIA ALTA,0,1,3,2,0,14,0,0,13,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ALHUEMILLA LAS PALMAS,0,0,9,2,0,0,14,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
ANGOSTURA DE GALVEZ,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
ATELCURA,4,0,2,0,3,1,2,0,0,0,1,0,0,0,0,0,0,2,0,14,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
CABRA CORRAL,1,0,2,0,6,9,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CANELA ALTA,87,8,41,11,16,9,13,17,0,1,3,1,94,0,23,4,3,4,15,11,0,0,6,0,1,2,1,0,1,2,0,0,2,25,3,0,8,0,0,0,0,0,0,2,3,0,0,19,11,0,1,2,0,0,1,4,0,13,11,0,0,1,6,0,0,1,0,2,0,0,13,0,0,2,3,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,2,0,0
CANELA BAJA,22,3,87,37,9,41,27,11,2,1,33,1,17,2,2,13,0,28,4,0,1,0,47,0,1,33,1,7,0,0,2,0,0,16,1,0,0,0,0,1,0,0,0,25,0,2,0,1,2,1,1,24,3,1,0,1,0,0,26,2,14,0,0,0,1,0,0,1,2,0,15,0,0,1,2,0,0,0,1,0,1,0,0,3,0,10,0,3,2,0,0,2,5,0,0,0,3,0,0
CANELILLA CANELA,1,1,9,1,4,5,1,0,0,0,2,1,7,0,2,2,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,1,0,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CHALINGA,8,12,31,12,17,15,7,1,25,17,7,7,3,3,6,0,3,19,3,0,12,0,16,0,1,1,1,1,18,2,5,1,0,12,5,0,0,1,5,1,0,2,0,0,0,1,0,0,0,0,2,0,7,0,3,2,0,5,0,3,1,0,5,1,3,1,0,3,0,0,0,0,0,5,0,0,4,0,9,1,4,3,0,0,0,0,16,0,0,0,0,3,1,0,0,1,0,0,1
CUZCUZ,1,1,2,0,2,5,0,1,0,0,4,0,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0
